2021-10-17 03:42:22.078206|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2021-10-17 03:47:25.024365|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to channelgroup 'Bot'(id:9) by client 'ZhuoYun'(id:3) in channel 'Overwatch'(id:1)
2021-10-17 05:16:51.538396|INFO    |VirtualServer |1  |channelgroup 'zhuoyun'(id:10) was added by 'ZhuoYun'(id:3)
2021-10-17 05:17:01.710197|INFO    |VirtualServer |1  |channelgroup 'zhuoyun'(id:10) was deleted by 'ZhuoYun'(id:3)
2021-10-17 05:17:06.780467|INFO    |VirtualServer |1  |channelgroup 'zhuoyun'(id:11) was added by 'ZhuoYun'(id:3)
2021-10-17 05:17:16.920051|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-635045248) was added by 'ZhuoYun'(id:3) to channelgroup 'zhuoyun'(id:11)
2021-10-17 05:17:22.076269|INFO    |VirtualServer |1  |client 'ZhuoYun'(id:3) was added to channelgroup 'zhuoyun'(id:11) by client 'ZhuoYun'(id:3) in channel 'Overwatch'(id:1)
2021-10-17 05:17:41.608356|INFO    |VirtualServer |1  |client 'TS3AudioBot1'(id:5) was added to channelgroup 'Bot'(id:9) by client 'ZhuoYun'(id:3) in channel 'Overwatch'(id:1)
2021-10-17 05:18:01.917773|INFO    |VirtualServer |1  |client '尾翼今天休息'(id:6) was added to channelgroup 'zhuoyun'(id:11) by client 'ZhuoYun'(id:3) in channel 'Overwatch'(id:1)
2021-10-17 09:25:24.274261|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2021-10-17 20:22:49.874189|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2021-10-17 20:22:49.874189|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2021-10-18 15:50:59.113414|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2021-10-19 05:05:22.593737|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to channelgroup 'Bot'(id:9) by client 'Zhuo_Yun'(id:3) in channel 'Overwatch'(id:1)
2021-10-19 05:11:38.875867|INFO    |VirtualServer |1  |permission 'b_virtualserver_modify_icon_id'(id:74) with values (value:1) was added by 'Zhuo_Yun'(id:3) to channel '娱乐区'(id:6)
2021-10-19 05:11:40.314353|INFO    |VirtualServer |1  |permission 'b_virtualserver_modify_icon_id'(id:74) with values (value:0) was added by 'Zhuo_Yun'(id:3) to channel '娱乐区'(id:6)
2021-10-19 05:11:59.466678|INFO    |VirtualServer |1  |permission 'b_virtualserver_modify_icon_id'(id:74) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:3) to servergroup 'Server Admin'(id:6)
2021-10-19 05:11:59.982301|INFO    |VirtualServer |1  |permission 'b_virtualserver_modify_icon_id'(id:74) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:3) to servergroup 'Server Admin'(id:6)
2021-10-19 14:41:05.464837|INFO    |PktHandler    |1  |Dropping client 16 because of ping timeout 19 0 0
2021-10-19 14:41:09.839841|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2021-10-20 15:46:51.630133|INFO    |PktHandler    |1  |Dropping client 19 because of ping timeout 19 0 0
2021-10-20 15:46:51.630133|INFO    |PktHandler    |1  |Dropping client 20 because of ping timeout 19 0 0
2021-10-22 07:16:26.079664|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
